Structure,Date and Time,Headwater (ft-NAVD88),Tailwater (ft-NAVD88),Gates,Gate1 (ft),Gate2 (ft),Max MAGO,Gate3 (ft),Gate4 (ft),Gate5 (ft),Gate6 (ft)
S40,2026-03-10 05:34:14,6.18,-0.9,2,0.0,0.0,0.0,,,,
S41,2026-03-10 05:32:15,6.32,-1.12,2,0.0,0.0,0.0,,,,
S59,2026-03-10 05:31:16,55.7,53.04,1,1.3,,1.289,,,,
S60,2026-03-10 05:32:14,62.99,60.39,1,0.0,,0.0,,,,
S61,2026-03-10 05:30:16,52.67,48.91,1,1.7,,1.707,,,,
S62,2026-03-10 05:33:14,59.51,55.68,1,0.1,,0.09,,,,
S63,2026-03-10 05:31:13,60.4,55.92,1,0.0,,0.0,,,,
S63A,2026-03-10 05:32:15,55.98,48.81,2,0.0,0.0,0.0,,,,
S65,2026-03-10 05:30:17,48.69,45.35,5,0.4,0.5,0.605,0.5,0.6,0.6,
S65A,2026-03-10 05:31:15,45.32,37.95,3,0.4,0.7,0.749,0.7,,,
S65D,2026-03-10 05:31:17,24.59,19.83,4,0.1,0.3,0.276,0.1,0.0,,
S65DX1,2026-03-10 05:30:16,24.56,20.31,4,1.2,1.2,1.225,1.2,1.2,,
S65DX2,2026-03-10 05:31:17,24.59,19.83,2,0.0,0.5,0.507,,,,
S65E,2026-03-10 05:44:47,19.82,10.74,6,0.2,0.3,0.291,0.2,0.2,0.2,0.1
S65EX1,2026-03-10 05:44:47,19.82,10.74,3,0.0,0.0,0.0,0.0,,,
S67,2026-03-10 05:34:15,37.24,32.54,2,0.0,0.0,0.0,,,,
S67X,2026-03-10 05:34:15,37.24,32.54,4,0.0,0.0,0.0,0.0,0.0,,
S68,2026-03-10 05:36:16,37.17,30.61,3,0.0,0.0,0.0,0.0,,,
S68X,2026-03-10 05:36:16,37.17,30.61,1,0.0,,0.0,,,,
S70,2026-03-10 05:33:14,24.74,18.52,2,0.2,0.3,0.304,,,,
S71,2026-03-10 05:34:17,18.54,10.8,3,0.0,0.0,0.0,0.0,,,
S72,2026-03-10 05:35:17,19.31,11.21,2,0.0,0.0,0.0,,,,
S75,2026-03-10 05:58:08,24.5,19.45,1,1.0,,1.008,,,,
S82,2026-03-10 05:37:14,30.65,24.74,2,0.0,0.0,0.0,,,,
S83,2026-03-10 05:38:15,30.64,23.21,1,0.0,,0.0,,,,
S83X,2026-03-10 05:38:15,30.64,23.21,1,0.0,,0.0,,,,
S84,2026-03-10 05:37:16,23.16,10.85,2,0.0,0.0,0.0,,,,
S84X,2026-03-10 05:37:16,23.16,10.85,1,0.0,,0.0,,,,
S97,2026-03-10 05:36:30,20.76,6.44,2,0.0,0.0,0.0,,,,
S153,2026-03-10 05:35:28,17.77,10.8,2,0.0,0.0,0.0,,,,
S191,2026-03-10 05:33:10,18.12,10.87,3,0.0,0.0,0.0,0.0,,,
S351,2026-03-10 05:30:18,9.09,10.81,3,0.0,0.0,0.0,0.0,,,
S352,2026-03-10 05:58:19,10.84,8.12,2,0.0,0.0,0.0,,,,
S354,2026-03-10 05:32:17,9.11,10.83,2,0.0,0.0,0.0,,,,
