Structure,GO_ft,a,b,c
S59,1.0,-0.008048685,1.083284911,14.31482503
S59,2.0,-0.011607436,1.591120575,-1.32333257
S59,3.0,-0.009011703,1.406528516,1.99046804
S59,4.0,-0.005770195,1.107225248,9.418188052
S59,5.0,-0.010499426,1.736663949,-10.44763541
S59,6.0,-0.00046734,0.640296262,19.95500866
S59,7.0,-0.015437379,2.406062236,-31.64599256
S59,8.0,-0.011115429,1.913069618,-17.20647231
S59,9.0,-0.011934407,2.039436917,-21.34093161
S62,1.0,-0.018747215,2.487545638,-27.76419345
S62,2.0,-0.008448583,1.331907265,5.907527145
S62,3.0,0.019619741,-2.047097123,108.8237582
S62,4.0,-0.001851156,0.79368212,16.53775242
S62,5.0,-0.000940931,0.706219767,19.23622425
S62,6.0,-0.006965313,1.503427038,-6.511229296
S63A,1.0,-0.004195334,0.799325636,13.31677088
S63A,2.0,-0.019610514,2.617569978,-39.36191587
S63A,3.0,-0.016600805,2.295716227,-29.8799696
S63A,4.0,-0.013235413,1.912236957,-18.18755397
S63A,5.0,-0.005545568,1.063439141,6.54022584
S63A,6.0,0.004888209,-0.02140767,35.46592802
S63A,7.0,0.007176547,-0.300194671,45.09758814
S63A,8.0,0.126356651,-14.48413888,468.1049078
S63,1.0,-0.02059026,2.724461512,-38.59954894
S63,2.0,-0.020086204,2.730057463,-39.198484
S63,3.0,-0.032403581,4.297438705,-87.48106722
S63,4.0,-0.03859044,5.119491449,-113.1868879
S63,5.0,-0.04211281,5.659870892,-131.8122386
S63,6.0,-0.037158033,5.168521187,-119.550901
S63,7.0,-0.033534435,4.810029325,-110.620022
S65A,2.0,-0.044203538,4.863943091,-95.79606044
S65A,2.5,-0.006542777,1.032718438,2.589802682
S65A,3.0,-0.00147402,0.502078406,17.26307487
S65A,4.0,0.00496552,-0.107020756,32.68160212
S65A,5.0,-0.000130525,0.374074468,22.11386706
S65A,6.0,-0.008036106,1.170623594,2.771119776
S65A,7.0,0.000134049,0.448653092,19.13500679
S65A,8.0,-0.006213516,1.120759783,2.141058949
S65A,9.0,-0.002670631,0.859965762,7.021479146
S65A,10.0,0.002638045,0.410909355,16.90399792
S65A,11.0,-0.001236898,0.831181591,6.264448068
S65A,12.0,-0.002271843,0.912597891,5.275675234
S65E,5.0,0.028592256,-0.767265654,12.57429524
S65E,6.0,0.019978835,-0.329963824,7.955859497
S65E,7.0,0.058308485,-1.760430639,21.83691984
S65E,8.0,0.143139467,-4.942116295,52.50235676
S65E,9.0,0.103607995,-2.617595708,23.33599547
S65E,10.0,0.031246121,0.50034179,-8.061326598
S65,4.0,-0.004730821,0.846382818,11.64240225
S65,5.0,0.001387418,0.256267608,26.46151718
S65,6.0,0.001481724,0.255998281,27.08681164
S65,7.0,0.000153789,0.500002922,18.75580955
S65,8.0,0.002014468,0.364592684,21.43706759
S65,9.0,3.50457E-05,0.64325075,12.90077885
S65,10.0,-0.003309406,1.063027101,0.772793757
S65,11.0,-0.001455187,0.883747913,5.650406158
S65,12.0,-0.003940902,1.177736035,-2.393910683
S65,13.0,-0.000894817,0.861988931,6.263965203
S65,14.0,0.002938561,0.481967154,15.99810116
S65,15.0,-0.00263563,1.13952537,-2.714173544
S68,1.0,-0.004370,0.476318,15.357032
S68,1.5,-0.006416,0.700741,10.734276
S68,2.0,-0.013481,1.319796,-1.588115
S68,2.5,-0.015127,1.509436,-5.616401
S68,3.0,-0.008508,1.098161,1.281509
S68,3.5,-0.011101,1.438043,-6.951905
S68,4.0,-0.042815,4.014302,-57.894025
S68,5.0,0.006051,0.067639,22.588031
S68,6.0,-0.006191,1.167826,-0.798525
S68,7.0,-0.014452,1.907127,-16.333927
S68,8.0,0.009850,0.001045,21.543700
S68,9.0,0.042750,-2.609650,73.766820
S70,2.5,-0.0152,1.2734,-7.0078
S70,3.0,-0.0172,1.4845,-8.9962
S70,4.0,-0.0172,1.5170,-7.2146
S70,5.0,-0.0153,1.4385,-5.0432
S70,6.0,-0.0177,1.5776,-6.0718
S70,7.0,-0.0220,1.8484,-9.5478
S71,2.0,0.002117,0.121857,5.567247
S71,3.0,0.020314,-0.211583,6.979967
S71,4.0,0.011256,0.321135,2.626108
S71,5.0,0.010676,0.341295,4.339916
S71,6.0,0.006416,0.501613,3.985697
S71,7.0,0.007295,0.512200,4.188214
S72,2.0,-0.022255,1.321796,-6.665131
S72,3.0,-0.016514,1.215542,-3.649615
S72,4.0,-0.023757,1.586779,-6.330863
S72,5.0,-0.020409,1.561324,-5.976610
S72,6.0,-0.014609,1.371553,-3.774150
S72,7.0,-0.012044,1.335262,-3.700059
S75,2.0,-0.000320,0.520837,4.066923
S75,3.0,0.023103,-0.683004,22.500106
S75,4.0,0.010218,0.121549,12.097850
S75,5.0,0.018040,-0.263695,17.995287
S75,6.0,0.015128,-0.127942,17.222835
S82,0.5,-0.006291706,0.604037676,10.94344292
S82,1.0,-0.01702138,1.368713425,-1.208441654
S82,2.0,-0.021073879,1.815580838,-9.882664415
S82,3.0,-0.015369658,1.565329563,-6.419899813
S82,4.0,-0.010651565,1.308276709,-1.856573258
S82,5.0,-0.00832358,1.215904462,-0.533277012
S82,6.0,-0.005743318,1.048415642,2.714975659
S82,7.0,-0.003624899,0.903289228,5.567367765
S82,8.0,-0.005426257,1.046849325,3.161543156
S82,9.0,-0.007238587,1.217367994,-0.228780475
S83,4.0,-0.008556617,1.029679316,-2.243242501
S83,5.0,-0.008353455,1.076548271,-1.800099636
S83,6.0,-0.00793192,1.117440902,-2.197460664
S83,7.0,-0.005742043,1.011278082,0.082273191
S83,8.0,-0.004381206,0.978129807,0.577376704
S83,9.0,-0.00638013,1.162466881,-2.504280904
S83,10.0,-0.005659337,1.184407425,-3.261029609
S83,11.0,-0.004431294,1.129269754,-2.109568788
S84,3.0,0.001061655,0.262087005,0.668901657
S84,4.0,0.00134438,0.597856287,-5.51702037
S84,5.0,0.008764793,0.408928492,-1.785091096
S84,6.0,0.005961849,0.682318959,-3.555500825
S84,7.0,-0.015844878,1.805669193,-15.4021119
S84,8.0,0.242565246,-10.51716659,133.0768781
S65D,5.0,0.000182358,0.499387692,2.247487139
S65D,6.0,0.00055527,0.407661157,5.712474717
S65D,7.0,0.002013504,0.327317228,7.535816242
S65D,8.0,0.001364824,0.402888401,6.555526033
S65D,9.0,0.001636713,0.435686504,5.990248096
S65D,10.0,0.020797001,-0.654844916,22.00670506
S65D,11.0,0.020216769,-0.613816676,21.84840611
S65D,12.0,0.022477872,-0.715203906,23.41195798
S65D,13.0,0.025006028,-0.791988135,24.09878708
S65D,14.0,-0.000365984,0.738436767,1.734604994
S65D,15.0,0.001984061,0.679723771,2.151645039
S60,2.0,-0.01593911,2.313115799,-26.37125884
S60,2.5,-0.004090555,0.773116305,24.51283705
S60,3.0,-0.001639784,0.481850389,33.70999863
S60,3.5,-0.001368049,0.506874943,31.66829661
S60,4.0,-0.001242338,0.51381909,31.22536615
S60,5.0,-0.000149252,0.476584038,30.03407297
S60,6.0,-0.016783142,2.732793379,-45.41150313
S60,7.0,-0.023290954,3.668954298,-78.06325309
S60,8.0,-0.027618478,4.25100156,-97.11599426
S67,0.5,0.001161493,-0.069659392,31.12772663
S67,1.0,-0.003079754,0.271787353,24.61150988
S67,1.5,-0.004993191,0.432618201,21.56046735
S67,2.0,-0.007356916,0.623185137,18.00317679
S67,2.5,-0.008804063,0.749412071,15.54405419
S67,3.0,-0.011507285,0.961350033,11.63642425
S67,3.5,-0.013264757,1.107481376,8.843609648
S67X,0.5,7.87305E-05,0.030214345,32.14050424
S67X,1.0,-0.010845862,0.968985743,12.99315893
S67X,1.5,-0.020851552,1.807074859,-3.736444223
S67X,2.0,-0.026077908,2.285020539,-13.81314417
S67X,2.5,-0.029293314,2.594561641,-20.50387737
S67X,3.0,-0.027178192,2.490649605,-19.31470495
S67X,3.5,-0.030636519,2.79327372,-25.58728063
S68X,1.0,-0.004696572,0.606088898,6.237690856
S68X,2.0,-0.00690407,0.876425599,1.321034407
S68X,3.0,-0.009396282,1.152780491,-4.083776774
S68X,4.0,-0.011893459,1.42234385,-9.59406579
S68X,5.0,-0.013314767,1.597853364,-13.33197175
S68X,6.0,-0.022522526,2.41206746,-30.32485538
S83X,1,-0.004647692,0.536354454,1.912808355
S83X,2,-0.007039302,0.787510357,-1.352358581
S83X,3,-0.008610312,0.984602889,-4.438421453
