Structure,GO_ft,e,d,c,b,a
S59,No Restrictition Curve,478.9545741,-20.39592958,0.234897837,0.001189192,-2.29E-05
S62,No Restrictition Curve,-9851.838348,661.4964079,-16.5423682,0.18353736,-0.000761438
S63A,No Restrictition Curve,23.175433,0.6641,-8.91E-14,1.24E-15,-6.40E-18
S63,No Restrictition Curve,-53750.31285,3654.876929,-93.09643305,1.053834691,-0.004472306
S65A,No Restrictition Curve,-161.2762651,15.20999059,-0.401062306,0.004093464,-8.99E-06
S65E,No Restrictition Curve,-30.8805233,12.24119833,-1.112916034,0.045010078,-0.000665835
S65,No Restrictition Curve,832.5952463,-58.6307233,1.616062821,-0.019560998,8.89E-05
S68,No Restrictition Curve,-88.04609269,10.34088104,-0.299065305,0.00303499,0
S82,No Restrictition Curve,-1136.143439,154.7450499,-7.68399988,0.16873464,-0.00137673
S83,No Restrictition Curve,-123.0274499,14.76740005,-0.55961952,0.01001035,-0.00006827
S84,No Restrictition Curve,16.74917659,0.28190295,0.00142848,0.00025378,-0.00000935
S65D,No Restrictition Curve,-297.2520576,58.88451874,-4.06038661,0.12496255,-0.00143659
S60,No Restrictition Curve,358.8973518,-25.69416106,0.76004893,-0.0096889,0.00004638
S67,No Restrictition Curve,-10209.94288,1242.857349,-55.19985947,1.05252892,-0.00714099
S67X,No Restrictition Curve,-2982.338915,319.65924,-12.57642673,0.21613662,-0.00135346
S68X,No Restrictition Curve,2094.044537,-299.7935812,16.25577118,-0.39036878,0.00351727
S83X,No Restrictition Curve,-9.4881013,3.89483786,-0.12179487,0.00046633,0.00003233
S84X,No Restrictition Curve,1.92292113,4.00000882,-0.33888744,0.01436887,-0.00021346
S65DX1,No Restrictition Curve,4776.09927,-1029.542693,84.55245434,-3.13953117,0.04468364
S65DX2,No Restrictition Curve,13.63534104,0.66512903,0.02480355,-0.00199538,0.00003933
S65EX1,No Restrictition Curve,-29.11179361,11.01874165,-0.96490296,0.03872858,-0.00056494
S41,No Restrictition Curve,6.95472549,0.48743722,-0.00298863,-0.00012197,-0.00133817
S40,No Restrictition Curve,6.91877305,0.35821533,-0.01968513,0.00021082,-0.02236491
S153,No Restrictition Curve,7.84957309,1.71190729,-0.11702072,0.0059404,-0.00012093
S351,No Restrictition Curve,9.71037639,-2.71403357,0.60005508,-0.04341959,0.00115056
S352,No Restrictition Curve,0.40671323,1.60695777,-0.13008842,0.00918628,-0.00023297
S354,No Restrictition Curve,0.35854738,0.89462718,0.00556675,0.0014015,-0.0000753
S191,No Restrictition Curve,12.55191152,-0.13592639,0.05189879,-0.00209799,0.00004877
S61,No Restrictition Curve,1775.64447,-134.560193,3.87749676,-0.0492529,0.00023449
